model,metric_type,score
t5,accuracy,0.8297913446676971
rf-tfidf,accuracy,0.7277820710973725
rf-bow,accuracy,0.7181221020092736
lr-tfidf,accuracy,0.7625579598145286
lf-bow,accuracy,0.7293276661514683
nb-tfidf,accuracy,0.7457496136012365
nb-bow,accuracy,0.7457496136012365
knn-tfidf,accuracy,0.6010432766615147
knn-bow,accuracy,0.6495363214837713
svm-tfidf,accuracy,0.7660355486862442
svm-bow,accuracy,0.7660355486862442
bart,accuracy,0.8375193199381762
t5,f1,0.7794743429286608
rf-tfidf,f1,0.5332891685988739
rf-bow,f1,0.5122032764961552
lr-tfidf,f1,0.6648486501227162
lf-bow,f1,0.6430573248407643
nb-tfidf,f1,0.6625641025641026
nb-bow,f1,0.6625641025641026
knn-tfidf,f1,0.31915595120342893
knn-bow,f1,0.4963908939478069
svm-tfidf,f1,0.6701171342958322
svm-bow,f1,0.6587771203155819
bart,f1,0.787465251453121
t5,precision,0.8063179699637494
rf-tfidf,precision,0.8429319371727748
rf-bow,precision,0.8263214670981661
lr-tfidf,precision,0.7604491578290705
lf-bow,precision,0.6781300376141859
nb-tfidf,precision,0.7037037037037037
nb-bow,precision,0.7037037037037037
knn-tfidf,precision,0.49948400412796695
knn-bow,precision,0.5812743823146944
svm-tfidf,precision,0.7654013690105788
svm-bow,precision,0.7872053872053872
bart,precision,0.8230322239830956
t5,recall,0.7543604651162791
rf-tfidf,recall,0.39001937984496127
rf-bow,recall,0.37112403100775193
lr-tfidf,recall,0.5906007751937985
lf-bow,recall,0.6114341085271318
nb-tfidf,recall,0.625968992248062
nb-bow,recall,0.625968992248062
knn-tfidf,recall,0.23449612403100775
knn-bow,recall,0.4331395348837209
svm-tfidf,recall,0.5959302325581395
svm-bow,recall,0.5663759689922481
bart,recall,0.7548449612403101
